
2025/01/03 (02:15:53) | ===> btop++ v.1.4.0
2025/01/03 (02:15:53) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/01/03 (02:16:11) | ===> btop++ v.1.4.0
2025/01/03 (02:16:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/03 (02:16:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (02:21:45) | ===> btop++ v.1.4.0
2025/01/03 (02:21:45) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/01/03 (02:28:17) | ===> btop++ v.1.4.0
2025/01/03 (02:28:17) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/01/03 (02:46:38) | ===> btop++ v.1.4.0
2025/01/03 (02:46:38) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/01/03 (02:47:38) | ===> btop++ v.1.4.0
2025/01/03 (02:47:38) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/01/03 (03:04:08) | ===> btop++ v.1.4.0
2025/01/03 (03:04:08) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/01/03 (03:12:53) | ===> btop++ v.1.4.0
2025/01/03 (03:12:53) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/01/03 (03:13:48) | ===> btop++ v.1.4.0
2025/01/03 (03:13:48) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/01/03 (03:34:25) | ===> btop++ v.1.4.0
2025/01/03 (03:34:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (03:45:12) | ===> btop++ v.1.4.0
2025/01/03 (03:45:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (03:47:33) | ===> btop++ v.1.4.0
2025/01/03 (03:47:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (03:47:33) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (03:49:21) | ===> btop++ v.1.4.0
2025/01/03 (03:49:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (03:49:21) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (03:51:08) | ===> btop++ v.1.4.0
2025/01/03 (03:51:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (03:51:08) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (03:51:46) | ===> btop++ v.1.4.0
2025/01/03 (03:51:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (03:51:46) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (03:53:28) | ===> btop++ v.1.4.0
2025/01/03 (03:53:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (03:53:28) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (03:53:52) | ===> btop++ v.1.4.0
2025/01/03 (03:53:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (03:53:52) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (03:54:38) | ===> btop++ v.1.4.0
2025/01/03 (03:54:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (03:54:38) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (04:00:15) | ===> btop++ v.1.4.0
2025/01/03 (04:00:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (04:00:15) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (04:02:14) | ===> btop++ v.1.4.0
2025/01/03 (04:02:14) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (04:02:14) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (04:02:55) | ===> btop++ v.1.4.0
2025/01/03 (04:02:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (04:02:55) | ERROR: Invalid size of hex value: 7DCFFFCC
2025/01/03 (04:02:55) | ERROR: Invalid size of hex value: 7DCFFFCC
2025/01/03 (04:02:55) | ERROR: Invalid size of hex value: 7DCFFFCC
2025/01/03 (04:02:55) | ERROR: Invalid size of hex value: 7DCFFFCC
2025/01/03 (04:02:55) | ERROR: Invalid size of hex value: 00000000
2025/01/03 (04:02:55) | ERROR: Invalid size of hex value: 7DCFFFCC
2025/01/03 (04:02:55) | ERROR: Invalid size of hex value: 7DCFFFCC

2025/01/03 (04:03:35) | ===> btop++ v.1.4.0
2025/01/03 (04:03:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (04:03:35) | ERROR: Invalid size of hex value: CC7DCFFF
2025/01/03 (04:03:35) | ERROR: Invalid size of hex value: CC7DCFFF
2025/01/03 (04:03:35) | ERROR: Invalid size of hex value: CC7DCFFF
2025/01/03 (04:03:35) | ERROR: Invalid size of hex value: CC7DCFFF
2025/01/03 (04:03:35) | ERROR: Invalid size of hex value: 00000000
2025/01/03 (04:03:35) | ERROR: Invalid size of hex value: CC7DCFFF
2025/01/03 (04:03:35) | ERROR: Invalid size of hex value: CC7DCFFF

2025/01/03 (04:03:47) | ===> btop++ v.1.4.0
2025/01/03 (04:03:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (04:03:47) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (04:04:17) | ===> btop++ v.1.4.0
2025/01/03 (04:04:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (04:04:17) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (04:05:48) | ===> btop++ v.1.4.0
2025/01/03 (04:05:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (04:05:48) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (04:07:47) | ===> btop++ v.1.4.0
2025/01/03 (04:07:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (04:07:47) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (04:09:26) | ===> btop++ v.1.4.0
2025/01/03 (04:09:26) | WARNING: Intel GPU: Failed to initialize PMU
